순번,ID,주소,음식분류,업소명,전화번호,영업시간,좌석수,주차,홈페이지,가능언어,예약가능,영유아시설,조식여부,디저트여부,메뉴,업소소개,지하철정보,버스정보
45,1618,대구광역시 중구 봉산동 35-62,일식,도마29,053-216-1129,11:00 ~ 21:00 (브레이크타임 15:30 ~ 17:00),23석,없음(인근유료주차장이용),없음,영어 중국어 ,불가,불가능,불가능,불가능,"연어초밥 16,000원 <br />모듬초밥 12,000원 <br />흐트러진덮밥 12,000원 <br />연어샐러드 9,000원 <br />사케동 13,000웜<br />","도마29 는 동성로 [통신골목] 인근에 위치한 초밥 전문점으로 덮밥, 샐러드 등 다양한 일본 요리를 즐기실 수 있습니다.","지하철 1호선, 2호선 반월당역 10번 출구에서 도보로 약 119m 거리.",버스 정류장은 2호선반월당역1 정류장이 가장 가깝습니다.
46,1617,대구광역시 중구 동산동 125,디저트/베이커리,빵장수단팥빵 서문본점,053-423-0088,09:00 ~ 22:00,없음,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"통단팥빵 2,500원<br />생크림단팥빵 3,500원<br />무설탕단팥빵 2,800원<br />","빵장수 단팥빵 서문본점은 대구에서 많은 사랑을 받는 프리미엄 빵집으로, 대구 중구 국채보상로 494에 위치해 있습니다. 15살때부터 빵을 시작한 박기태 명장이 어린시절 할머니께서 사주시던 단팥빵에 대한 그리움을 담아 만든 브랜드입니다. 그리운 그 맛을 재현하기 위해 매일 정성스럽게 빵을 만들고 있습니다.<br />",지하철 3호선 서문시장역 1번 출구에서 도보로 약 285m 거리.,버스 정류장은 섬유회관앞 정류장이 가장 가깝습니다.
47,1616,대구광역시 중구 계산동2가 17,한식,다금예전칼국수,053-255-1515,11:00 ~ 21:00 (브레이크타임 15:00 ~ 17:00),100석(룸1),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"영양칼국수 9,000원<br />찹쌀수제비 10,000원<br />명태찜(코다리) 26,000원<br />",오랜 전통을 자랑하는 다금예전칼국수 는  시내에서 먹거리 음식이 많지 않던 시절부터 지금까지 사람들의 쉼터 역할을 하고 있는 칼국수 전문점입니다.,지하철 3호선 서문시장역 1번 출구에서 도보로 약 445m 거리.,버스 정류장은 섬유회관건너2 정류장이 가장 가깝습니다.
48,1614,대구광역시 중구 동인동4가 467-1,한식,김해통닭,053-427-6940,11:30 ~ 23:00 (브레이크타임 15:00~16:00),40석,노상주차,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"닭불고기 19,000원 <br />닭똥집 8,000원 ~ 13,000원 <br />통닭(양념, 간장, 후라이드) 17,000원<br /><br />",44년 이상 전통을 자랑하는 김해통닭 은 닭불고기라는 특별한 메뉴를 판매하고 있는 닭 요리 전문점입니다.,지하철 1호선 신천역 3번 출구에서 도보로 약 1142m 거리.,버스 정류장은 동인초등학교건너 정류장이 가장 가깝습니다.
49,1613,대구광역시 중구 남성로 48-1,세계요리,삐에뜨라,053-742-4819,11:30 ~ 21:00(브레이크타임 15:00~17:00),36석(룸1),없음(인근유료주차장이용),blog.naver.com/pietra2013,영어 ,가능,불가능,불가능,가능,"안심스테이크 55,000원<br />뇨끼 23,000원<br />라자냐 24,000원<br />",삐에뜨라 (Pietra) 는 이태리어로 단단한 돌을 의미를 담아 탄생하게 된 이탈리안 레스토랑입니다.,"지하철 1호선, 2호선 반월당역 18번 출구에서 도보로 약 392m 거리.",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
50,1612,대구광역시 중구 계산동2가 171,전통차/커피전문점,라미아에밀리 ( La mia emily ),053-256-8282,11:00 ~ 21:30,132석,없음(유료주차장),없음,영어 중국어 ,가능,불가능,불가능,불가능,"함박스테이크 18,500원 <br />쉬림프루꼴라피자 20,000원 <br />마르게리따피자 18,500원 <br />아라비아따토마토파스타 15,500원  <br />명란오일파스타 15,500원 <br />가지덮밥 15,500원 <br />쉬림 피자 18,000원<br />",“라 미아 에밀리” 는 한국의 전통적인 미를 살린 한옥을 배경으로 한 뷰가 이쁜 카페입니다.,"지하철 1호선, 2호선 반월당역 18번 출구에서 도보로 약 206m",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
51,1611,대구광역시 중구 남성로 82,한식,더메밀,053-753-4321,11:30 ~ 20:00 (브레이크타임 15:00 ~ 17:00),44석,없음(공영주차장유료),없음,영어 ,가능,불가능,불가능,불가능,"메밀묵밥 10,000원 <br />메밀칼국수 10,000원 <br />메밀버섯전 12,000원 <br />훈제 오리 수육 35,000원<br />","매일 직접 만드는 메밀묵, 생면을 사용하는 메밀칼국수, 메밀국수, 해물칼국수, 메밀비빔국수, 국내산 고춧가루를 사용하는 배추김치, 미역초무침 등 좋은 재료를 사용합니다.<br />","지하철 1호선, 2호선 반월당역 18번 출구에서 도보로 약 467m 거리.",버스 정류장은 매일신문사앞 정류장이 가장 가깝습니다.
52,1610,대구광역시 중구 삼덕동3가 217-5,세계요리,멘타와이,053-252-1305,11:00 ~ 21:00 (브레이크타임 15:00~17:00),36석,없음,없음,영어 ,가능,불가능,불가능,불가능,"소고기쌀국수 10,000원 <br />나시고랭 11,000원 <br />팟타이 11,000원 <br />분짜 14,000원<br />",멘타와이 는 깔끔하고 세련된 인테리어 그리고 청결한 오픈 주방이 한눈에 보이는 동남아 음식 전문점입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 756m,버스 정류장은 방천시장(김광석길)건너 정류장이 가장 가깝습니다.
53,1609,대구광역시 중구 대봉동 7-6,특별한 술집,대도양조장,053-352-2345,15:00 ~ 24:00,150석,20대,없음,영어 ,가능,불가능,불가능,불가능,"<br />감바스 21,000원 <br />슈바인학세 38,000원 <br />페퍼로니피자 19,000원<br /><br />","대도양조장은 대구의 대표 관광지 김광석길에 위치한 브루어리와 펍이 합쳐진 브루펍입니다.<br />대구 유일의 크래프트 브루어리로서 2020년도 국제맥주대회에서 수상한 경력이 있는 대표적인 라거 맥주인 대도 헬레스, 대도 필스너부터 세계적으로 사랑받고 있는 뉴잉글랜드 IPA스타일의 맥주 등 다양하게 양조하고 있습니다. 다양하면서도 좋은 퀄리티의 맥주 뿐만 아니라 맥주에 어울리는 안주들까지 함께 먹을 수 있는 맛집입니다. <br />",지하철 2호선 경대병원역 3번 출구에서 도보로 약 435m,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
54,1607,대구광역시 중구 시장북로 79-2,한식,대림가든,053-522-1822,11:00 ~ 20:00 (토요일 11:00 ~ 15:00),54석(룸4),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"곤드레밥 촌된장 12,000원<br />장어탕(시세)<br />고등어구이 정식 13,000원",대림가든 은 전통 방식으로 만든 민물 장어탕과 다양한 한식을 즐길 수 있는 한식 전문점입니다.,지하철 3호선 서문시장역 2번 출구에서 도보로 약 319m,버스 정류장은 달성공원건너 정류장이 가장 가깝습니다.
55,1606,대구광역시 중구 남산동 464,한식,토담집,053-255-3257,10:00 ~ 22:00,40석,유료주차장,없음,영어 ,가능,불가능,불가능,가능,"시래기 코다리찜 13,000원<br />제주갈치찌개 18,000원<br />시래기 사골들깨탕 10,000원<br />",토담집 은 다양한 한식을 집 밥처럼 즐길 수 있는 한식 전문점입니다.,"지하철 1호선, 2호선 반월당역 19번 출구에서 도보로 약 151m",버스 정류장은 현대백화점.동아쇼핑건너 정류장이 가장 가깝습니다.
56,1604,대구광역시 중구 동산동 108,한식,동해식당,053-253-6037,11:00 ~ 20:00,32석(룸1),유료주차장,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"동태탕 8,000원 <br />갈치찌개 9,000원 <br />비빔밥/된장찌개/청국장 각 7,000원 <br />코다리찜 30,000원 ~ 35,000원<br />","고향 어머니의 손맛으로 정갈하게 마련한 한식(비빔밥, 청국장, 동태탕, 코다리찜 등)을 맛볼 수 있는 음식점입니다.",지하철 3호선 서문시장역 1번 출구에서 도보로 약 294m,버스 정류장은 섬유회관앞 정류장이 가장 가깝습니다.
57,1603,대구광역시 중구 공평동 55-13,한식,팔공막창,053-426-4333,11:00 ~ 02:00,120석,주변유료주차장,없음,영어 일본어 중국어 ,가능,불가능,불가능,가능,"팔공막창 9,000원<br />생막창 9,000원<br />삼겹살 9,000원<br />불닭발 9,000원",팔공막창 은 특제 양념으로 숙성한 막창과 포장마차 같은 소박한 분위기에서 막창을 제대로 즐기실 수 있습니다.,지하철 1호선 중앙로역 2번 출구 도보로 약 465m,버스 정류장은 2.28기념중앙공원앞 정류장이 가장 가깝습니다.
58,1601,대구광역시 중구 삼덕동3가 383,중식,동네짬뽕,053-424-1588,11:00 ~ 21:00(브레이크타임 15:00 ~ 17:00),18석,없음,없음,가능한 외국어가 없습니다.,,불가능,불가능,불가능,"동네짬뽕 7,000원<br />동네짬뽕밥 7,000원<br />동네유니짜장 5,000원<br />동네찹쌀탕수육 11,000",동네짬뽕 은 고추기름과 캡사이신을 전혀 사용하지 않는 고기 육수 베이스의 짬뽕 전문점입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 657m,버스 정류장은 중구청건너 정류장이 가장 가깝습니다.
59,1600,대구광역시 중구 남산동 2627-3,한식,동동배,053-257-5567,16:30 ~ 02:00,54석,4대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"돼지막창(200g) 10,000원<br />삽겹살(150g) 10,000원<br />차돌박이(120g) 10,000원<br />",동동배 는 일명 대구 걸레막창 으로 유명한 막창 전문점으로 직접 손질과 양념을 만들어 판매하고 있는 막창구이 전문점입니다.,"지하철 2호선, 3호선 청라언덕역 4번 출구에서 도보로 약 544m",버스 정류장은 대명시장건너 정류장이 가장 가깝습니다.
60,1599,대구광역시 중구 공평동 69-2,세계요리,바스코(VASCO),053-422-9354,12:00 ~ 21:30,64석,없음,없음,영어 일본어 ,가능,불가능,불가능,불가능,"핫치킨퀘사디아 16,900원 <br />포크치미창가 18,900원 <br />칠리새우타코(2p) 10,500원<br /><br />",바스코(VASCO) 는 신선한 재료와 홈메이드 방식으로 만들어지는 퓨전 멕시코 요리를 맛볼 수 있는 음식점입니다.,"지하철 1호선, 2호선 반월당역 10번 출구에서 도보로 약 747m.",버스 정류장은 2.28기념중앙공원앞 정류장이 가장 가깝습니다.
61,1598,대구광역시 중구 삼덕동3가 277-2,일식,굿또스시,053-255-3534,12:00 ~ 21:30 (브레이크타임 14:00~17:30/19:00~19:30),10석,없음,없음,영어 일본어 ,가능,불가능,불가능,가능,"런치코스 45,000원<br />디너코스 85,000원<br /><br />",굿또스시 는 오마카세(요리사에게 맡기는 요리) 전문점으로 다양한 일식 코스 요리를 즐길 수 있는 곳입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 570m,버스 정류장은 방천시장(김광석길)건너 정류장이 가장 가깝습니다.
62,1597,대구광역시 중구 동인동4가 71,한식,금이옥식당,053-527-4301,11:00 ~ 소진 시까지,50석(룸1),8대,없음,가능한 외국어가 없습니다.,불가,불가능,불가능,가능,"왕갈비탕 13,000원<br /><br />",금이옥식당 은 가마솥에 직접 끓인 육수로 시원하고 담백하게 만든 갈비탕을 맛볼 수 있는 갈비탕 전문점입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 1131m 거리.,버스 정류장은 동인초등학교건너 정류장이 가장 가깝습니다.
63,1596,대구광역시 중구 화전동 2-13,한식,할매집식당,053-425-9587,11:00 ~ 20:00,72석(룸1),유료주차장,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"오삼볶음(돼지+오징어/2~3인) 20,000원 <br />돼지두루치기(2~3인) 20,000원 <br />오징어볶음(2~3인) 20,000원<br /><br />",대구역할매집식당 으로 유명한 할매집식당 은 집 밥을 대접하는 마음으로 만든 한식을 맛볼 수 있는 오랜 전통의 한식당입니다.,지하철 1호선 중앙로역 3번 출구에서 도보로 약 219m,버스 정류장은 경상감영공원앞 정류장이 가장 가깝습니다.
64,1595,대구광역시 중구 포정동 21-3,한식,유경식당,053-252-5098,09:00 ~ 21:30,52석,유료주차장,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"대구탕 20,000원<br />아구탕 15,000원<br />보리굴비 20,000원",유경식당 은 30년 2대에 신선한 재료로 맛을 내는 대구탕 전문점입니다.,지하철 1호선 중앙로역 4번 출구에서 도보로 약 172m.,버스 정류장은 경상감영공원건너 정류장이 가장 가깝습니다.
65,1594,대구광역시 중구 계산동1가 78-1,한식,강구,053-253-8944,10:00 ~ 21:30,64석,대호유료주차장이용시무료,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"생대구탕/생아구탕 15,000원 <br />생아구수육 40,000원 ~ 50,000원 <br />미주구리회 25,000원 ~ 30,000원<br />",강구식당 은  생대구탕과 매콤한 특제 소스에 찍어 먹는 야들야들한 생아구수육이 특별한 집입니다.,지하철 3호선 서문시장역 1번 출구에서 도보로 약 560m,버서 정류장은 매일신문사건너 정류장이 가장 가깝습니다
66,1592,대구광역시 중구 봉산동 132-17,양식,함박별장,053-255-3288,12:00 ~ 21:30,32석,유료주차장,instagram.com/villa_de_hamburg,가능한 외국어가 없습니다.,,불가능,불가능,불가능,"오리지널 함박스테이크 16,500원<br />스파이시 토마토 함박스테이크 17,800원<br />로제 함박스테이크 17,800원 <br />",함박별장은 2016년 봉산동에서 시작한 고품격 수제 함박스테이크 전문점입니다.,"지하철 1호선, 2호선 반월당역 9번 출구에서 도보로 약 155m 거리.",버스 정류장은 봉산문화거리앞 정류장이 가장 가깝습니다.
67,1590,대구광역시 중구 봉산동 77,한식,오이쏘이식당,070-4155-1380,11:30 ~ 21:00 (브레이크타임 15:30 ~ 17:30),15석,없음,www.instagram.com/oisoi_kitchen_,영어 ,불가,불가능,불가능,불가능,"차돌박이된장찌개 11,000원 <br />오리지날 순두부찌개 11,000원 <br />항정살덮밥 13,000원 <br />칠리새우라이스 14,000원<br />","오이쏘이식당 은 된장찌개, 순두부찌개와 덮밥류를 맛볼 수 있는 아담한 한식집입니다.","지하철 1호선, 2호선 반월당역 9번 출구에서 도보로 228m",버스 정류장은 2호선반월당역2 정류장이 가장 가깝습니다.
68,1589,대구광역시 중구 봉산동 168-37,한식,늘푸른솔밭길(봉산본점),053-252-9233,11:30 ~ 22:00,228석(룸5),25대,없음,영어 ,가능,불가능,불가능,가능,"황제꽃갈비살(600g) 49,000원 <br />솔밭골프리미엄세트(한근) 55,000원 <br />특갈비탕 11,000원<br />",쾌적한 공간에서 저렴하고 맛있는 갈비를 맛볼 수 있는 소갈비 전문점입니다.,지하철 2호선 경대병원역 2번 출구에서 도보로 약 504m,버스 정류장은 봉산가구골목(서편) 정류장이 가장 가깝습니다.
69,1588,대구광역시 중구 동성로2가 67-4,일식,든해,070-5123-8825,11:00 ~ 21:00,7석,유료주차장,없음,가능한 외국어가 없습니다.,불가능,불가능,불가능,불가능,"규동 8,900원 <br />한우호르몬동 14,900원 <br />사케동 13,900원 <br />스테이크동 11,900원<br />",든해 는 똑같은 일상 속에서 따뜻한 공간에서 정갈한 밥을 먹고 갈 수 있는 곳을 추구하는 일본 덮밥 전문점입니다.,지하철 1호선 중앙로역 2번 출구에서 도보로 263m,버스 정류장은 CGV대구한일앞 정류장이 가장 가깝습니다.
70,1587,대구광역시 중구 계산동2가 178,한식,더콩스,053-423-7111,11:00 ~ 21:00,56석,유료주차장,없음,영어 일본어 중국어 ,가능,불가능,불가능,가능,"사골순두부짬뽕 7,500원<br />순두부들깨백반 7,500원<br />맷돌 콩국수 8,500원<br />두부고기덮밥 8,000원",더콩스 는 건강한 국산콩으로 만든 다양한 음식을 즐길 수 있는 콩 요리 전문점입니다.,"지하철 1호선, 2호선 반월당역 18번 출구에서 232m이며, 도보로 약 4분 거리.",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
71,1583,대구광역시 중구 삼덕동2가 264,한식,삼덕골남원추어탕,053-423-4428,11:00 ~ 20:00,60석(룸3),없음,없음,영어 중국어 ,가능,불가능,불가능,가능,"추어탕 10,000원<br />통추어탕 11,000원<br />추어튀김 15,000원<br />",재료를 담뿍넣어 영양만점의 진하고 얼큰한 추어탕입니다. 국내산 미꾸라지만 사용하며 제공되는 반찬들도 매일 정성껏 만들어 더욱 맛있습니다.<br />,"지하철 2호선 경대병원역 4번 출구에서 207m 이며, 도보로 약 2분 거리.",버스 정류장은 경북대학교병원앞 정류장이 가장 가깝습니다.
72,1567,대구광역시 중구 종로1가 34-2,디저트/베이커리,에스파스 베이커리,053-267-7788,07:30 ~ 01:00 (금~일 07:30 ~ 02:00),36석,없음,없음,영어 ,가능,불가능,불가능,불가능,"인절미맘모스 5,800원<br />갈릭바게트 6,500원<br />망고쉬폰 7,500원 <br /><br />",에스파스 베이커리는 유럽풍 베이커리 카페입니다. 정직한 재료만 엄선하여 빵을 만들고 있습니다.,"지하철 1호선 중앙로역 1번 출구에서 335m이며, 도보로 약 5분 거리.",버스 정류장은 만경관건너 정류장이 가장 가깝습니다.
73,1558,대구광역시 중구 교동 62-1,한식,강산면옥(교동점),053-425-1199,11:00 ~ 20:00 (월요일 10:30 ~ 16:00),100석(룸2),없음,www.kangsanfood.com,영어 ,가능,불가능,불가능,가능,"냉면 12,000원<br />장국밥 12,000원<br />갈비탕 15,500원<br />",73년 전통을 자랑하는 강산면옥입니다. 좋은 재료와 오래된 노하우로 깊고 진한 맛있는 음식을 만듭니다. 숙련된 장인들이 우려내는 육수와 뽑아내는 면이 일품입니다. 냉면뿐만 아니라 육향이 가득한 탕요리도 훌륭합니다.<br />,지하철 1호선 중앙로역 1번 출구에서 도보로 약 6분 거리,버스 정류장은 대구역건너 정류장이 가장 가깝습니다.
74,1546,대구광역시 중구 봉산동 127-1,한식,가미정샤보리,0507-1388-5556,10:00 ~ 15:00,28석,유료주차장,없음,영어 중국어 ,가능,불가능,불가능,가능,"[저염 메뉴] 소고기 부채살 쌈밥 샤브 <br />소고기 쌈밥 샤브샤브 10,000원 <br />소고기 손수제비 샤브샤브 10,000원 <br />소고기 월남쌈 샤브샤브 11,000원<br /><br />",중구 반월당 매트리프라자 지하에 위치한 [가미정샤보리]는 베트남 월남쌈과 함께 샤브샤브 즐길 수 있는 샤브샤브 전문점입니다.,지하철 1호선/2호선 반월당역 10번 출구 도보로 약 4분 거리.,버스 정류장은 경대사대부설고등학교앞 정류장이 가장 가깝습니다.
75,1439,대구광역시 중구 대봉동 18-8,세계요리,인도가는길,0507-1439-1316,11:30 ~ 21:00 (15:30~17:00 브레이크타임),60석,가게앞3대,waytoindia2000.modoo.at,영어 ,가능,불가능,불가능,불가능,"[채식 메뉴 주문가능 - 야채 커리, 달 커리(렌틸콩), 시금치 커리, 단호박 커리, 야채브리야니 등] <br /><br />치킨커리 13,500원 <br />치킨 마크니 15,000원 <br />탄두리 치킨 28,500원<br />","[인도가는길]은 인도 정통의 커리를 맛볼 수 있는 곳으로 커리와 함께 파스타, 브리야니(인도식 볶음밥) 등 다양한 인도 음식의 풍미와 분위기를 즐기실 수 있습니다.","가장 가까운 지하철은 2호선 경대병원역 3번 출구에서 약 240m이며, 도보로 약 4분 거리입니다.",버스 정류장은 청구타운건너 정류장이 가장 가깝습니다.
76,1417,대구광역시 중구 남산동 2267-34,한식,미성당(본점),053-255-0742,10:30 ~ 21:00,28석,6대,없음,가능한 외국어가 없습니다.,불가,불가능,불가능,불가능,"[채식메뉴 - 납작만두]<br /><br />납작만두 4,500원 <br />쫄면 5,500원 <br />우동 4,500원<br />",대구 10味 납작 만두로 유명한 [미성당]은 50년 전통의 맛으로 미성당 납작만두의 원조로 유명한 곳입니다.,"지하철은 3호선 남산역 2번 출구 약 260m이며, 도보로 약 4분 거리입니다.",버스 정류장은 계명대학교대명캠퍼스건너 정류장이 가장 가깝습니다.
77,1412,대구광역시 중구 계산동1가 80,한식,거창식당,053-253-6699,10:00 ~ 21:00,80석(룸2),7대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"복어찜 은복 45,000원 ~ 55,000원 <br />복어찜 밀복 65,000원 ~ 75,000원 <br />아구찜 45,000원 ~ 55,000원 <br />은복불고기(1인분) 16,000원 <br />밀복불고기(1인분) 23,000원<br />",[거창복어]는 복어 요리 전문점입니다. 복어 요리와 더불어 특선연요리정식도 함께 즐기실 수 있습니다.,"지하철은 3호선 서문시장역 1번 출구 약 530m이며, 도보로 약 8분 거리입니다.",버스 정류장은 매일신문사건너 정류장이 가장 가깝습니다.
78,1403,대구광역시 중구 대봉동 11-49,한식,방천가족족발,053-252-1481,"15:00 ~ 24:00 (토,일 15:00 ~ 01:00)",172석,김광석길공영주차장(유료),없음,영어 ,가능,불가능,불가능,불가능,"가족족발 27,000원 <br />불족발 32,000원 <br />가족보쌈 27,000원<br />",[방천가족족발]은 김광석거리 내 방천시장에 위치한 국내산 장족발만 엄선하여 사용하고 있는 맛있는 족발 전문점입니다.,"지하철은 2호선 경대병원역 3번 출구 약 510m이며, 도보로 약 6분 거리입니다.",버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
79,1392,대구광역시 중구 장관동 43-2,한식,약전삼계탕,053-253-2473,10:00 ~ 21:00(브레이크타임 15:00~16:00),60석,없음,없음,영어 중국어 ,가능,불가능,불가능,가능,"송이한방삼계탕 26,000원 <br />능이한방삼계탕 22,000원 <br />한방삼계탕 17,000원<br /><br />",[약전삼계탕]은 [대구약령시] 인근 위치한 삼계탕 전문점으로 한약재를 우려낸 국물에 닭을 고아낸 한방 삼계탕을 맛볼 수 있는 음식점입니다.,지하철 1호선/2호선 반월당역 18번 출구 약 380m 도보로 약 6분 거리.<br />,버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
80,1391,대구광역시 중구 대봉동 13-4,한식,대한뉴스,053-423-3990,16:00 ~ 24:00,170석,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"숙성한우등심 100g 22,000원 <br />한우꽃갈비 100g 25,000원 <br />숙성한우갈빗살 100g 19,000원<br />",[대한유스]는 1++(투플러스)한우만 엄선하여 30일 정도 숙성시켜 판매하는 원조 숙성 한우 돌판 직화구이 전문점입니다.,지하철 2호선 경대병원역 3번 출구 약 410m 도보로 약 6분 거리,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
81,1390,대구광역시 중구 동인동1가 234-4,한식,진성분식,053-423-3141,9:00 ~ 20:00 (15:00~17:00 브레이크타임),52석(룸3),없음,없음,영어 일본어 ,가능,불가능,불가능,가능,"[저염 메뉴] 추어탕 8,000원<br />산채비빔밥 7,000원 <br />소곱창전골 10,000원<br />",[진성분식]은 100% 국내산 추어탕만 사용하고 있는 경상도식 추어탕 전문점입니다.,"지하철 1호선 칠성시장역 3번 출구 약 800m이며, 도보로 약 12분 거리.",버스 정류장은 대구광역시청앞 정류장이 가장 가깝습니다.
82,1259,대구광역시 중구 덕산동 124-29,디저트/베이커리,르폴뒤,053-426-3006,10:00 ~ 22:30,30석,없음,blog.naver.com/lepouldu,영어 중국어 ,가능,불가능,불가능,불가능,"아메리카노 3,500원 <br />오리지널 크루아상 3,200원 <br />커스터드 크로와상 3,800원<br />",르폴뒤는 제대로 된 크로아상을 맛볼 수 있는 대구 속 작은 프랑스 베이커리 카페입니다.,"지하철은 1,2호선 반월당역 12번 출구 약 300m이며, 도보로 약 5분 거리입니다.",버스 정류장은 2호선반월당역1 정류장이 가장 가깝습니다.
83,1189,대구광역시 중구 서성로1가 68,한식,밀양,053-257-5830,07:00 ~ 22:00,20석,없음,없음,가능한 외국어가 없습니다.,가능,불가능,가능,불가능,"암뽕 20,000~30,000원 <br />순대 20,000~30,000원 <br />순대국밥 8,000원<br />",밀양식당은 60년 이상의 역사를 지닌 대구에서 가장 오래된 ( 현존 )  돼지국밥집으로 사골을 우려낸 국물을 사용한 전통 돼지국밥을 맛볼 수 있습니다.<br />,"지하철 3호선 서문시장역 1번 출구 약 740m이며, 도보로 약 11분 거리.",버스 정류장은 성내3동주민센터입구 정류장이 가장 가깝습니다.
84,1188,대구광역시 중구 동성로3가 59-1,한식,뉴욕통닭,053-253-0070,11:30 ~ 20:00,24석,없음,없음,가능한 외국어가 없습니다.,당일 예약 가능,불가능,불가능,불가능,"프라이드치킨 21,000원 <br />양념치킨 22,000원 <br />찜닭 28,000원<br />",40년 이상의 전통을 가지고 있는 뉴욕통닭은 대구 3대 통닭으로 불리며 가마솥에 튀겨낸 전통방식의 통닭을 맛볼 수 있는 있습니다.,지하철 환승역 반월당역 15번 출구 약 250m 도보로 4분 거리.,버스 정류장은 약령시건너(동성로입구) 정류장이 가장 가깝습니다.
85,1179,대구광역시 중구 공평동 95-23,중식,락짬뽕,053-431-3301,09:30 ~ 21:00,70석(룸1),없음(저녁시간주차가능),0534313301.bdp.kr/,영어 ,가능,불가능,불가능,가능,"왕해물락짬뽕 10,000원 <br />왕해물 굴짬뽕 9,500원 <br />등심탕수육(미니) 15,000원<br />",락짬뽕은 짬뽕 전문점으로 다양한 종류의 짬뽕과 중화요리를 즐기실 수 있습니다.,"지하철 1호선 중앙로역 7번 출구 약 570m이며, 도보로 약 9분 거리.",버스 정류장은 2.28기념중앙공원앞 정류장이 가장 가깝습니다.<br />
86,1178,대구광역시 중구 봉산동 24-3 2층,전통차/커피전문점,스위트앤드,053-253-8030,13:00 ~ 21:30,39석,없음,www.facebook.com/cafesweetand,영어 ,불가,불가능,불가능,불가능,"무민팬케이크 13,000원 <br />교토당고 6,500원 <br />딸기큐브파이 13,000원<br />",대구 최초의 Live디저트를 선보이는 스위트 앤드는 아늑한 복층 카페입니다.,"지하철 1,2호선 반월당역 10번 출구 약 570m이며, 도보로 약 9분 거리.",버스 정류장은 봉산문화거리건너 정류장이 가장 가깝습니다.<br />
87,1143,대구광역시 중구 동인동1가 351-11,한식,낙영찜갈비 별관,053-423-8330,10:00 ~ 21:00 (브레이크타임 15:00 ~ 17:00),172석(룸5),50대,www.nakyoung.com,일본어 중국어 ,가능,불가능,불가능,가능,"한우찜갈비 30,000원<br />찜갈비(수입) 22,000원<br />갈비살찌개 9,000원<br />","1974년 개업을 시작으로 올해 50년을 이어오고 있는 대구10미 대표메뉴 동인동 찜갈비 골목의 낙영찜갈비입니다. 본점과 별관 등 2개업소 운영으로 최대 수용 250명, 동시 주차 50대 이상의 가장 큰 규모를 자랑하며 외국 관광객 전문업소로 지정되어 많은 관광객들이 찾는 유명 맛집입니다.<br /><br />","지하철 1호선 칠성시장역 3번 출구 약 630m 이며, 도보로 약 10분 거리.",버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.
88,1142,대구광역시 중구 동일동 32-2,일식,오호리준,0507-1402-8965,17:00 ~ 02:00,34석,유료주차장,www.ohorijoon.com/,영어 ,가능,불가능,불가능,불가능,"한우 명란 모츠나베+한우 우설 100g 75,000원<br />한우 차돌박이 모츠나베 + 한우 채끝살 100g 70,000원 <br />한우 탄탄나베+한우 채끝 100g 60,000원 <br />오뎅나베+모둠꼬치 44,000원 <br />",국내 최초 후쿠오카 다이닝 선술집(이자카야)으로 미니화로에 1등급 이상 한우 야키니쿠를 맛볼 수 있습니다.,"지하철 1호선 중앙로역 1번 출구 약 190m 이며, 도보로 약 3분 거리.",버스 정류장은 약령시앞 정류장이 가장 가깝습니다.
89,1122,대구광역시 중구 삼덕동1가 33-11,한식,고기굽는남자동성로점,053-425-5933,16:00 ~ 03:00,51석,없음,없음,영어 ,가능,불가능,불가능,가능,"삼겹살 13,000원 <br />목살 13,000원 <br />돼지왕갈비 13,000원<br />",고기굽는남자 동성로 본점은 다년간의 돼지선별 노하우로 최상급 돼지고기만 전국에서 공수하여 항상 똑같은 맛과 품질을 지켜오고 있는 돼지고기 전문점입니다.,지하철 환승역인 반월당역 10번 출구 약 700m,버스 정류장은 봉산문화거리 건너 정류장이 가장 가깝습니다.
